"scheme","k","n","cov","eff","div"
"NNB",6,8900000,0.106922154166647,0.56519628552671,0.290001861527546
"NNB",6,9e+06,0.1079350871741,0.564211251879702,0.290001861527546
"NNB",6,9100000,0.108944737179247,0.563230894605619,0.290001861527546
"NNB",6,9200000,0.109951126012059,0.562255172845581,0.290001861527546
"NNB",6,9300000,0.110954275263075,0.561284046286869,0.290001861527546
"NNB",6,9400000,0.111954206287198,0.560317475152868,0.290001861527546
"NNB",6,9500000,0.11295094020741,0.559355420193257,0.290001861527546
"NNB",6,9600000,0.113944497918414,0.558397842674422,0.290001861527546
"NNB",6,9700000,0.114934900090189,0.557444704370094,0.290001861527546
"NNB",6,9800000,0.115922167171483,0.556495967552212,0.290001861527546
"NNB",6,9900000,0.116906319393226,0.555551594981991,0.290001861527546
"NNB",6,1e+07,0.117887376771879,0.5546115499012,0.290001861527546
"NNB",6,1.1e+07,0.127531990830271,0.545441351299455,0.290001861527546
"NNB",6,1.2e+07,0.136887664406909,0.536666730837946,0.290001861527546
"NNB",6,1.3e+07,0.145971332362337,0.528257687056149,0.290001861527546
"NNB",6,1.4e+07,0.154798368386974,0.520187544151981,0.290001861527546
"NNB",6,1.5e+07,0.163382783621799,0.512432466381328,0.290001861527546
"NNB",6,1.6e+07,0.17173739311461,0.504971059982511,0.290001861527546
"NNB",6,1.7e+07,0.17987395639922,0.497784043985699,0.290001861527546
"NNB",6,1.8e+07,0.187803297054986,0.49085397581425,0.290001861527546
"NNB",6,1.9e+07,0.195535405042537,0.484165020890421,0.290001861527546
"NNB",6,2e+07,0.203079524813033,0.477702757894524,0.290001861527546
"NNB",6,2.1e+07,0.210444231580384,0.471454013146056,0.290001861527546
"NNB",6,2.2e+07,0.217637497677952,0.465406718949759,0.290001861527546
"NNB",6,2.3e+07,0.224666750557406,0.459549791799149,0.290001861527546
"NNB",6,2.4e+07,0.231538923701923,0.453873027139531,0.290001861527546
"NNB",6,2.5e+07,0.238260501499891,0.448367008022568,0.290001861527546
"NNB",6,2.6e+07,0.244837558944994,0.443023025479103,0.290001861527546
"NNB",6,2.7e+07,0.251275796883559,0.437833008828299,0.290001861527546
"NNB",6,2.8e+07,0.257580573412771,0.432789464453177,0.290001861527546
"NNB",6,2.9e+07,0.26375693193777,0.427885421823084,0.290001861527546
"NNB",6,3e+07,0.26980962631731,0.423114385745955,0.290001861527546
"NNB",6,3.1e+07,0.275743143463087,0.418470293997752,0.290001861527546
"NNB",6,3.2e+07,0.281561723704356,0.413947479610938,0.290001861527546
"NNB",6,3.3e+07,0.287269379184871,0.409540637214403,0.290001861527546
"NNB",6,3.4e+07,0.292869910521878,0.405244792908615,0.290001861527546
"NNB",6,3.5e+07,0.298366921925559,0.401055277235604,0.290001861527546
"NNB",6,3.6e+07,0.303763834950832,0.39696770086668,0.290001861527546
"NNB",6,3.7e+07,0.309063901030963,0.392977932683743,0.290001861527546
"NNB",6,3.8e+07,0.31427021292338,0.389082079974684,0.290001861527546
"NNB",6,3.9e+07,0.319385715181714,0.385276470500995,0.290001861527546
"NNB",6,4e+07,0.324413213754167,0.381557636227652,0.290001861527546
"NNB",6,4.1e+07,0.329355384796222,0.377922298532494,0.290001861527546
"NNB",6,4.2e+07,0.334214782775391,0.374367354735521,0.290001861527546
"NNB",6,4.3e+07,0.33899384793666,0.370889865808377,0.290001861527546
